effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,outcome
fixed,(Intercept),0.43187583200051616,0.32779811414560955,1.3175055418673787,127.65451117892488,0.19002898606200017,-0.21674549259700182,1.0804971565980341,Depression
fixed,countryNepal,-0.36025168194558604,0.20784134543609328,-1.733301337083365,10.570136736118082,0.11206855414408465,-0.8199874358600447,0.0994840719688726,Depression
fixed,countryVietnam,0.046298912223340205,0.22210537360530358,0.2084547144078402,10.182014711436524,0.8389848872307506,-0.44738617992910445,0.5399840043757849,Depression
fixed,age,-0.012145784843631349,0.002805798522721113,-4.328815752548103,870.3531582470938,1.6732595131008126e-05,-0.01765270696397034,-0.006638862723292356,Depression
fixed,female,0.04115175127839162,0.06622071793683329,0.6214331792301846,865.8994070023416,0.5344782086400313,-0.08882014280064182,0.17112364535742508,Depression
fixed,ethnicity_minority,0.13755993426841587,0.07541242583192705,1.8241017014224954,816.8517511362295,0.06850191559833947,-0.01046503373453811,0.28558490227136984,Depression
fixed,education,-0.016636876202808668,0.024794322323361616,-0.6709953991012342,848.4687056654957,0.5024060773182164,-0.06530227583610546,0.03202852343048812,Depression
fixed,employmentPart-time/casual,-0.020408428733479214,0.07576807479729097,-0.2693539302414597,870.8807127132782,0.7877211379677228,-0.16911780033176144,0.12830094286480304,Depression
fixed,employmentStudent,0.417353658812863,0.15620868806188912,2.671769822735529,868.9803174780865,0.007686461426876148,0.11076323003394645,0.7239440875917795,Depression
fixed,employmentNot working,0.03964819128273592,0.08405927350562868,0.4716694497732132,870.8510698211066,0.6372808949989686,-0.1253342550264311,0.20463063759190295,Depression
fixed,comorbidity,0.257194546775268,0.04736635786742274,5.429899159550099,868.7792873562021,7.320833939585978e-8,0.1642286763413819,0.35016041720915403,Depression
fixed,gen_health,-0.12872485551636575,0.04261791447095149,-3.020440045326597,867.0289018686329,0.0025981330832819944,-0.21237119971109175,-0.04507851132163976,Depression
fixed,perceived_risk,0.0203687688074996,0.005365729364900204,3.796085755040393,870.6569037304212,1.5718534470657986e-4,0.009837492546212823,0.03090004506878638,Depression
fixed,risk_self,0.03168218678399693,0.05140108024564926,0.6163720029342886,870.8811326330248,0.5378101034927834,-0.0692022867640544,0.13256666033204825,Depression
fixed,health_trust,-0.00879827121538995,0.019123470706712366,-0.4600771141559437,870.1897355463774,0.6455758029909906,-0.04633178994118178,0.028735247510401872,Depression
fixed,worry_health_fear,-0.04753526012055781,0.01702145406498066,-2.7926674148453143,868.1274604997935,0.005342481427397645,-0.08094327420424619,-0.014127246036869434,Depression
fixed,worry_economic,0.04205215233516252,0.012920460463175704,3.254694556359996,869.1497250388873,0.0011790085761127621,0.0166932015258322,0.06741110314449283,Depression
fixed,worry_basic_needs,0.06496795613081371,0.02649216420643301,2.4523461210857866,856.9768602410427,0.014391248721603902,0.01297083125627329,0.11696508100535413,Depression
fixed,worry_social,0.04191826727078853,0.01537154575214996,2.727004033730673,867.8171064420695,0.006520187654144139,0.011748513769487753,0.07208802077208931,Depression
fixed,worry_safety_stigma,0.14908724615370844,0.03586702989393185,4.156665511323304,867.8577893570308,3.5494240926112505e-5,0.07869098299791823,0.21948350930949867,Depression
fixed,livelihood_disruption,0.022117835707910503,0.012163582783043022,1.8183652055827237,866.484517992096,0.06935347055713191,-0.0017556958409008505,0.04599136725672186,Depression
fixed,(Intercept),0.3302928698107976,0.3032739065458512,1.089090959300389,306.4269722848106,0.2769695446467901,-0.26647006876847695,0.9270558083900722,Anxiety
fixed,countryNepal,-0.2926598660194882,0.13373589277369358,-2.188341962278773,9.672029162068362,0.0543736025550356,-0.5920173281588194,0.006697596119842997,Anxiety
fixed,countryVietnam,-0.3642898184257789,0.14095989712923768,-2.5843507681605598,8.783588819498963,0.030053273303331178,-0.6843648884283272,-0.04421474842323059,Anxiety
fixed,age,-0.009921288088561925,0.002819120471304594,-3.5192848938345254,786.8520673883866,4.575672343878555e-4,-0.015455174880739843,-0.0043874012963840085,Anxiety
fixed,female,0.022237892302393054,0.06624764219606513,0.33567824552273506,712.9319534598332,0.7372122708164026,-0.10782590692640519,0.1523016915311913,Anxiety
fixed,ethnicity_minority,0.10149769942858201,0.07437640728140986,1.3646491291863063,477.7809880539858,0.1730057003559778,-0.04464759417199447,0.2476429930291585,Anxiety
fixed,education,0.011382423897857184,0.02465500179610307,0.46166794032261116,625.5936235401082,0.64447995256473,-0.03703416229136414,0.05979901008707851,Anxiety
fixed,employmentPart-time/casual,-0.033159829377470744,0.0763933839796218,-0.43406676926782356,852.6552438794454,0.664349766047239,-0.18310095044062139,0.11678129168567988,Anxiety
fixed,employmentStudent,0.3693697630787527,0.15809245170799544,2.3364161861503474,867.7253053166106,0.019696355231907794,0.059081449848596035,0.6796580763089093,Anxiety
fixed,employmentNot working,-0.006758047281412822,0.08481594876944606,-0.07967896815943334,849.0752956788186,0.936511362375895,-0.17323155585141856,0.1597154612885929,Anxiety
fixed,comorbidity,0.25693435255073815,0.04794900026438565,5.358492380112821,868.7378556717423,1.0755973407812283e-7,0.16282492460891876,0.3510437804925576,Anxiety
fixed,gen_health,-0.16996961913711583,0.04321092343284478,-3.933487313717561,870.9814926463919,9.038086408558714e-5,-0.2547793262903831,-0.0851599119838486,Anxiety
fixed,perceived_risk,0.02348338357199231,0.00541762055361931,4.334630552208744,855.3155363108477,1.633675556733895e-5,0.012849995370714785,0.03411677177326984,Anxiety
fixed,risk_self,0.09646749885289038,0.05175019151581092,1.8640993593891773,823.4733201576453,0.06266340373304131,-0.0051103108841671074,0.19804530858994787,Anxiety
fixed,health_trust,0.01570874889078752,0.019332599389719464,0.8125523409511602,864.4843917145781,0.4166984672945865,-0.022235574203546243,0.05365307198512129,Anxiety
fixed,worry_health_fear,0.034937274550604504,0.017066462622690803,2.0471304055799746,764.8966585158043,0.04098645896632527,0.001434609646714484,0.06843993945449453,Anxiety
fixed,worry_economic,0.024308441756177954,0.013080721254432636,1.8583410871125017,869.8076184460184,0.06345824192819431,-0.0013650253715672897,0.0499819088839232,Anxiety
fixed,worry_basic_needs,0.03688911997783309,0.02648957873609068,1.3925899065949876,762.3619526765453,0.16414984383784106,-0.015112057755174685,0.08889029771084087,Anxiety
fixed,worry_social,0.024243840583282484,0.0154171151339176,1.5725276987745989,777.1779886895656,0.11623521261475368,-0.006020281415238755,0.05450796258180372,Anxiety
fixed,worry_safety_stigma,0.10309066307580234,0.03597641542525719,2.8655068009757216,780.4300265842536,0.004275342602046727,0.03246866021600185,0.1737126659356028,Anxiety
fixed,livelihood_disruption,0.016902486825900034,0.012330326041495991,1.370806154599406,870.5091828167168,0.17078871590580003,-0.007298156139547155,0.041103129791347226,Anxiety
fixed,(Intercept),0.15915710877861639,0.3340023699544193,0.4765149085628832,85.07387388603559,0.634929219089889,-0.5049207597687035,0.8232349773259362,Stress
fixed,countryNepal,-0.2821830212572549,0.23895436750243781,-1.1809075691172546,10.672876750706118,0.2632868205897163,-0.8100914674982372,0.2457254249837274,Stress
fixed,countryVietnam,-0.027464901187572898,0.2560882887301264,-0.10724778287895954,10.377118170492315,0.916637658883771,-0.5952668333788885,0.5403370310037426,Stress
fixed,age,-0.009227990554416159,0.0027135479842888954,-3.400710290676662,870.7593507816582,7.02690101159034e-4,-0.014553849696224357,-0.0039021314126079605,Stress
fixed,female,0.17040328906723942,0.0640938578458991,2.6586524012478723,870.7539077388526,0.007989354303123622,0.04460678069933188,0.29619979743514696,Stress
fixed,ethnicity_minority,0.04171542990886493,0.07320582682378532,0.5698375623743541,852.9153121166561,0.5689379319554329,-0.1019692507915618,0.18540011060929165,Stress
fixed,education,5.408607178893472e-4,0.024032337931355164,0.02250553897145739,865.4141958246689,0.9820498815713665,-0.046627624140811355,0.047709345576590054,Stress
fixed,employmentPart-time/casual,-0.0607653137336003,0.07326481231006965,-0.8293928806700649,870.6499033241465,0.4071094601598094,-0.20456160587457256,0.08303097840737195,Stress
fixed,employmentStudent,0.16585109363994535,0.15089448204674372,1.0991196721730911,867.2146933954729,0.2720209057161994,-0.13030999634032994,0.4620121836202207,Stress
fixed,employmentNot working,-0.09064056895028184,0.08124502844655335,-1.1156444976803634,869.4491892506562,0.2648825884707688,-0.2500998774020677,0.06881873950150398,Stress
fixed,comorbidity,0.25989899803733835,0.045753186615706855,5.680456756385056,867.0145846071009,1.833429019685925e-8,0.17009904110575103,0.34969895496892567,Stress
fixed,gen_health,-0.10258077917618233,0.04115541607065163,-2.4925219805840766,865.5906744227875,0.0128699157066882,-0.18335685976546445,-0.02180469858690022,Stress
fixed,perceived_risk,0.021053661316896885,0.005185536824460035,4.0600736297131945,869.1036466510922,5.3483856141755115e-5,0.010876022265389711,0.03123130036840406,Stress
fixed,risk_self,0.15112990511283583,0.049700139776682986,3.0408346091561502,870.4655761390316,0.0024299139636204943,0.053583788496706114,0.24867602172896555,Stress
fixed,health_trust,-0.03117589449501322,0.018478446405718694,-1.6871491147310378,868.6141505708237,0.09193372033185417,-0.06744351960555864,0.00509173061553219,Stress
fixed,worry_health_fear,-0.0015776524350464033,0.016469921256617875,-0.09578991972487286,870.9802613969736,0.9237094579308565,-0.0339030250582356,0.030747720188142796,Stress
fixed,worry_economic,0.04896114622018563,0.012481619458755422,3.922659746355357,867.605461466409,9.449501732305133e-5,0.02446344659179293,0.07345884584857833,Stress
fixed,worry_basic_needs,0.05264293936739123,0.025666543959698696,2.0510334172785614,867.1841617574295,0.040563696271688175,0.0022671277004767953,0.10301875103430566,Stress
fixed,worry_social,0.045647436181034215,0.014874590556120417,3.0688196766701425,870.926954370046,0.0022156307416486016,0.016453202899353092,0.07484166946271534,Stress
fixed,worry_safety_stigma,0.03028427659861704,0.03470720892368667,0.8725644480720226,870.9329611471188,0.3831410180674527,-0.03783526863029038,0.09840382182752447,Stress
fixed,livelihood_disruption,0.008388906570421583,0.011745112113977324,0.7142466150185426,864.945283290841,0.47526739832737463,-0.014663347651192819,0.03144116079203599,Stress
